Bureau of Justice Statistics,,,
Filename: 18upr9yfp0514at02.csv,,,
Appendix table 2. Standard errors for table 1: Characteristics of prisoners released in 30 states in 2005,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 5/23/2018,,,
,,,
Appendix table 2. Standard errors for table 1: Characteristics of prisoners released in 30 states in 2005,,,
Characteristic,,Standard error,
Sex,,,
,Male,0.003,%
,Female,0.003,
Race/Hispanic origin,,,
,White ,0.28,%
,Black/African American,0.27,
,Hispanic/Latino,0.27,
,Other ,0.09,
,American Indian or Alaska Native,0.05,
,"Asian, Native Hawaiian, or Other Pacific Islander",0.06,
Age at release,,,
,24 or younger,0.22,%
,25-29,0.24,
,30-34,0.22,
,35-39,0.22,
,40 or older,0.28,
Most serious commitment offense ,,,
,Violent,0.26,%
,Property,0.28,
,Drug,0.28,
,Public order,0.18,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,
