Bureau of Justice Statistics,,,,,,,,
Filename: 18upr9yfp0514at03.csv,,,,,,,,
"Appendix table 3. Standard errors for table 2, figure 2, and figure 4: Cumulative percent of prisoners released in 30 states in 2005 who were arrested within or outside the state of release, by year after release",,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 5/23/2018,,,,,,,,
,,,,,,,,
"Appendix table 3. Standard errors for table 2, figure 2, and figure 4: Cumulative percent of prisoners released in 30 states in 2005 who were arrested within or outside the state of release, by year after release",,,,,,,,
,Within or outside the state of release,,,,Outside the state of release ,,,
Year after release,Percent arrested,Percent not arrested,,,Percent arrested,,Percent not arrested,
1,0.29,%,0.29,%,0.09,%,0.11,%
2,0.27,,0.21,,0.11,,0.09,
3,0.25,,0.15,,0.13,,0.09,
4,0.23,,0.11,,0.15,,0.08,
5,0.22,,0.09,,0.16,,0.08,
6,0.21,,0.07,,0.17,,0.08,
7,0.21,,0.06,,0.18,,0.07,
8,0.2,,0.05,,0.19,,0.07,
9,0.2,,0.05,,0.19,,0.07,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,
