Bureau of Justice Statistics,,,,
Filename: 18upr9yfp0514at04.csv,,,,
"Appendix table 4. Standard errors for figure 3: Percent of prisoners released in 30 states in 2005 who were arrested after release, by year after release",,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 5/23/2018,,,,
,,,,
"Appendix table 4. Standard errors for figure 3: Percent of prisoners released in 30 states in 2005 who were arrested after release, by year after release",,,,
,,,,
Year of first arrest,Estimate,,Standard error,
1,43.9,%,0.29,%
2,16.2,,0.21, 
3,8.3,,0.15,
4,5.1,,0.11,
5,3.5,,0.09,
6,2.3,,0.07,
7,1.7,,0.06,
8,1.3,,0.05,
9,1,,0.05,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,
