Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: 18upr9yfp0514at05.csv,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 3, figure 5, and figure 6: Percent of prisoners released in 30 states in 2005 who were arrested after release, by prisoner characteristics and year of first arrest",,,,,,,,,,,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 3, figure 5, and figure 6: Percent of prisoners released in 30 states in 2005 who were arrested after release, by prisoner characteristics and year of first arrest",,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,
Characteristic,,Total arrested within 9 years,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,
,All released prisoners,0.2,%,0.29,%,0.21,%,0.15,%,0.11,%,0.09,%,0.07,%,0.06,%,0.05,%,0.05,%
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,0.22,%,0.32,%,0.23,%,0.16,%,0.12,%,0.1,%,0.08,%,0.07,%,0.06,%,0.05,%
,Female,0.39,,0.49,,0.37,,0.26,,0.22,,0.19,,0.14,,0.13,,0.11,,0.12,
Age at release,,,,,,,,,,,,,,,,,,,,,
,24 or younger,0.36,%,0.68,%,0.5,%,0.32,%,0.26,%,0.23,%,0.14,%,0.15,%,0.1,%,0.07,%
,25-39,0.27,,0.41,,0.3,,0.22,,0.16,,0.13,,0.1,,0.08,,0.08,,0.06,
,25-29,0.4,,0.68,,0.48,,0.36,,0.26,,0.2,,0.16,,0.12,,0.14,,0.1,
,30-34,0.52,,0.76,,0.53,,0.35,,0.3,,0.23,,0.19,,0.15,,0.18,,0.12,
,35-39,0.51,,0.77,,0.54,,0.41,,0.28,,0.24,,0.17,,0.15,,0.12,,0.11,
,40 or older,0.42,,0.54,,0.38,,0.27,,0.21,,0.18,,0.15,,0.11,,0.09,,0.12,
Race/Hispanic origin,,,,,,,,,,,,,,,,,,,,,
,White,0.31,%,0.44,%,0.31,%,0.23,%,0.17,%,0.14,%,0.1,%,0.11,%,0.08,%,0.08,%
,Black/African American,0.25,,0.42,,0.31,,0.21,,0.18,,0.14,,0.11,,0.09,,0.07,,0.07,
,Hispanic/Latino,0.67,,0.93,,0.64,,0.45,,0.33,,0.29,,0.24,,0.12,,0.19,,0.14,
,Other,1.37,,1.98,,1.55,,1,,0.55,,0.48,,0.16,,0.33,,0.2,,0.2,
,American Indian or Alaska Native,1.49,,2.21,,1.65,,0.79,,0.46,,0.41,,0.22,,0.41,,0.26,,0.28,
,"Asian, Native Hawaiian, or Other Pacific Islander",2.58,,3.77,,2.99,,2.09,,0.7,,0.22,,0.34,,0.54,,0.33,,0.39,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,,,,,,,,,,
