Bureau of Justice Statistics,,,,,,
Filename: 18upr9yfp0514at06.csv,,,,,,
"Appendix table 6. Standard errors for table 4: Post-release arrests of prisoners released in 30 states in 2005, by year after arrest",,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 5/23/2018,,,,,,
,,,,,,
"Appendix table 6. Standard errors for table 4: Post-release arrests of prisoners released in 30 states in 2005, by year after arrest",,,,,,
,,,,,,
,,,,,,
Year after arrest,,"Number of
arrests during
year/period","Percent of arrests
during year/period",,"Cumulative number
of all arrests since
release","Cumulative percent
of all arrests since
release"
,Total,"15,295",~,,~,~
Years 1-3,,"6,173",0.22,%,~,~
,1,"2,941",0.13,,"2,941",0.13
,2,"2,910",0.13,,"4,675",0.19
,3,"2,819",0.12,,"6,173",0.22
Years 4-6,,"6,223",0.19,%,~,~
,4,"2,838",0.11,,"7,704",0.24
,5,"3,009",0.12,,"9,317",0.24
,6,"2,613",0.11,,"10,530",0.23
Years 7-9,,"7,295",0.23,%,~,~
,7,"2,982",0.12,,"12,006",0.2
,8,"3,212",0.13,,"13,570",0.14
,9,"3,333",0.14,,"15,295",~
~Not applicable.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,
