Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: 18upr9yfp0514at09.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 9. Standard errors for table 7: Cumulative percent of prisoners released in 30 states in 2005 who were arrested following release, by most serious commitment offense and type of post-release arrest offense",,,,,,,,,,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 9. Standard errors for table 7: Cumulative percent of prisoners released in 30 states in 2005 who were arrested following release, by most serious commitment offense and type of post-release arrest offense",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Most serious commitment offense,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,
Any arrest after release,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.29,%,0.27,%,0.25,%,0.23,%,0.22,%,0.21,%,0.21,%,0.2,%,0.2,%
,,Violent ,0.6,%,0.57,%,0.54,%,0.52,%,0.49,%,0.47,%,0.46,%,0.45,%,0.45,%
,,Property ,0.55,,0.49,,0.44,,0.4,,0.38,,0.36,,0.35,,0.34,,0.33,
,,Drug ,0.53,,0.49,,0.45,,0.42,,0.4,,0.38,,0.37,,0.36,,0.35,
,,Public order ,0.78,,0.75,,0.7,,0.66,,0.63,,0.61,,0.58,,0.57,,0.56,
Violent arrest after release,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.18,%,0.22,%,0.25,%,0.27,%,0.28,%,0.28,%,0.29,%,0.29,%,0.29,%
,,Violent ,0.39,%,0.49,%,0.53,%,0.56,%,0.58,%,0.59,%,0.59,%,0.59,%,0.59,%
,,Property ,0.34,,0.41,,0.46,,0.49,,0.52,,0.53,,0.55,,0.55,,0.56,
,,Drug ,0.27,,0.36,,0.42,,0.45,,0.47,,0.48,,0.49,,0.5,,0.51,
,,Public order ,0.49,,0.6,,0.66,,0.71,,0.73,,0.74,,0.75,,0.76,,0.76,
Arrest after release for same type as most  serious commitment offense,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.26,%,0.29,%,0.3,%,0.3,%,0.3,%,0.3,%,0.29,%,0.29,%,0.29,%
,,Violent ,0.39,%,0.49,%,0.53,%,0.56,%,0.58,%,0.59,%,0.59,%,0.59,%,0.59,%
,,Property ,0.5,,0.55,,0.56,,0.56,,0.56,,0.55,,0.55,,0.54,,0.54,
,,Drug ,0.48,,0.52,,0.53,,0.53,,0.53,,0.52,,0.52,,0.51,,0.51,
,,Public order ,0.77,,0.78,,0.76,,0.74,,0.72,,0.7,,0.68,,0.67,,0.65,
Arrested after release for different type of  offense than most serious commitment offense,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.29,%,0.28,%,0.26,%,0.25,%,0.25,%,0.24,%,0.23,%,0.23,%,0.22,%
,,Violent,0.6,%,0.59,%,0.56,%,0.54,%,0.52,%,0.5,%,0.49,%,0.48,%,0.47,%
,,Property,0.56,,0.52,,0.48,,0.45,,0.43,,0.41,,0.4,,0.39,,0.38,
,,Drug ,0.53,,0.52,,0.49,,0.46,,0.45,,0.43,,0.42,,0.41,,0.41,
,,Public order ,0.72,,0.77,,0.77,,0.76,,0.75,,0.74,,0.72,,0.71,,0.7,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,,,,,,,,,
