Bureau of Justice Statistics,,,,,,,
Filename: 18upr9yfp0514at10.csv,,,,,,,
"Appendix table 10. Standard errors for table 8: Annual arrest percentage of prisoners released in 30 states in 2005, by whether arrested within or outside the state of release ",,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 5/23/2018,,,,,,,
,,,,,,,
"Appendix table 10. Standard errors for table 8: Annual arrest percentage of prisoners released in 30 states in 2005, by whether arrested within or outside the state of release ",,,,,,,
,,,,,,,
,All released prisoners,,,,,,
Year after of release,Outside state arrest,,Within or outside state of release,,,"Among released prisoners arrested during the year, percent arrested outside state of release",
1,0.09,%,0.29,%,,0.2,%
2,0.09,,0.29,,,0.23,
3,0.09,,0.29,,,0.27,
4,0.09,,0.29,,,0.29,
5,0.09,,0.28,,,0.31,
6,0.1,,0.28,,,0.33,
7,0.1,,0.28,,,0.35,
8,0.09,,0.27,,,0.36,
9,0.1,,0.27,,,0.4,
Arrested anytime in follow-up period,0.19,%,0.2,%,,~,
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,
