Bureau of Justice Statistics,,,,,,,,,,,,
Filename: 18upr9yfp0514at11.csv,,,,,,,,,,,,
"Appendix table 11. Estimates and standard errors for figure 11: Percent of prisoners released in 30 states in 2005 who were arrested after release, by year of arrest and whether arrested during subsequent years",,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 11. Estimates and standard errors for figure 11: Percent of prisoners released in 30 states in 2005 who were arrested after release, by year of arrest and whether arrested during subsequent years",,,,,,,,,,,,
,,,,,,,,,,,,
,Total,,,,Arrested again during a subsequent year,,,,Not arrested during a subsequent year,,,
Year after release,Estimate,,Standard error,,Estimate,,Standard error,,Estimate,,Standard error,
1,43.9,%,0.29,%,38.9,%,0.29,%,4.9,%,0.14,%
2,37.7,,0.29,,33,,0.29,,4.7,,0.12,
3,34.3,,0.29,,29.1,,0.28,,5.2,,0.13,
4,31.9,,0.29,,26,,0.28,,5.9,,0.14,
5,30.1,,0.28,,23.2,,0.27,,6.9,,0.15,
6,28,,0.28,,20.1,,0.26,,7.8,,0.16,
7,27.4,,0.28,,17.2,,0.25,,10.2,,0.18,
8,25.9,,0.27,,12.2,,0.22,,13.7,,0.2,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,
