Bureau of Justice Statistics,,
Filename: 18upr9yfp0514f01.csv,,
Figure 1. Annual arrest percentage of prisoners released in 30 states in 2005,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 5/23/2018,,
,,
Figure 1. Annual arrest percentage of prisoners released in 30 states in 2005,,
,,
Year after release,Percent of released prisoners,
1,43.9,%
2,37.67,
3,34.27,
4,31.89,
5,30.08,
6,27.96,
7,27.36,
8,25.9,
9,24.02,
"Note: The denominator for annual percent is 401,288 (total state prisoners released in 30 states in 2005). See table 5 for estimates and appendix table 7 standard errors.",,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,
