Bureau of Justice Statistics,,
Filename: 18upr9yfp0514f03.csv,,
"Figure 3. Percent of prisoners released in 30 states in 2005 who were arrested after release, by year of first arrest",,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 5/23/2018,,
,,
"Figure 3. Percent of prisoners released in 30 states in 2005 who were arrested after release, by year of first arrest",,
,,
Year after release,Percent of released prisoners,
1,43.9,%
2,16.2,
3,8.3,
4,5.1,
5,3.5,
6,2.3,
7,1.7,
8,1.3,
9,1,
"Note: The denominator for the annual percentage was 401,288 (total state prisoners released in 30 states in 2005). See appendix table 4 for estimates and standard errors.",,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,
