Bureau of Justice Statistics,,
Filename: 18upr9yfp0514f04.csv,,
"Figure 4. Percent of prisoners released in 30 states in 2005 who were not arrested since release, by year following release",,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 5/23/2018,,
,,
"Figure 4. Percent of prisoners released in 30 states in 2005 who were not arrested since release, by year following release",,
,,
Year after release,Percent of released prisoners,
1,56.1,%
2,39.9,
3,31.6,
4,26.5,
5,23,
6,20.6,
7,18.9,
8,17.6,
9,16.6,
Note: See table 2 for estimates and appendix table 3 for standard errors.,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,
