Bureau of Justice Statistics,,,,
Filename: 18upr9yfp0514f05.csv,,,,
"Figure 5. Percent of prisoners released in 30 states in 2005 who were arrested following release, by sex of prisoner and year of first arrest",,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 5/23/2018,,,,
,,,,
"Figure 5. Percent of prisoners released in 30 states in 2005 who were arrested following release, by sex of prisoner and year of first arrest",,,,
,,,,
Year after release,Percent of released prisoners,,,
,Male,,Female,
1,44.9,%,35.1,%
2,16.3,,15.7,
3,8.3,,8.5,
4,5.1,,5.5,
5,3.4,,4.2,
6,2.3,,2.5,
7,1.7,,2.2,
8,1.3,,1.7,
9,0.9,,1.4,
Note: See table 3 for estimates and appendix table 5 for standard errors.,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,
