Bureau of Justice Statistics,,,,,,
Filename: 18upr9yfp0514f06.csv,,,,,,
"Figure 6. Percent of prisoners released in 30 states in 2005 who were arrested after release, by age at release and year of first arrest",,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 5/23/2018,,,,,,
,,,,,,
"Figure 6. Percent of prisoners released in 30 states in 2005 who were arrested after release, by age at release and year of first arrest",,,,,,
,,,,,,
Year after release,Percent of released prisoners,,,,,
,24 or younger,,25-39,,40 or older,
1,51.8,%,44.9,%,37.8,%
2,17,,16.7,,15.1,
3,7.7,,8.6,,8.1,
4,4.8,,5.2,,5.1,
5,3.4,,3.6,,3.5,
6,2,,2.3,,2.5,
7,1.7,,1.7,,1.9,
8,1,,1.4,,1.4,
9,0.7,,0.9,,1.2,
Note: See table 3 for estimates and appendix table 5 for standard errors.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,
