Bureau of Justice Statistics,,,,
Filename: 18upr9yfp0514f07.csv,,,,
"Figure 7. Annual arrest percentage of prisoners released in 30 states in 2005, by sex of prisoner",,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 5/23/2018,,,,
,,,,
"Figure 7. Annual arrest percentage of prisoners released in 30 states in 2005, by sex of prisoner",,,,
,,,,
Year after release,Percent of released prisoners,,,
,Male,,Female,
1,44.9,%,35.14,%
2,38.19,,33.2,
3,34.7,,30.69,
4,32.3,,28.04,
5,30.49,,26.65,
6,28.4,,24.27,
7,27.78,,23.79,
8,26.38,,21.94,
9,24.3,,21.27,
Note: See table 5 for estimates and appendix table 7 for standard errors.,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,
