Bureau of Justice Statistics,,,
Filename: 18upr9yfp0514f08.csv,,,
"Figure 8. Annual arrest percentage of prisoners released in 30 states in 2005, by age of prisoner at release",,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 5/23/2018,,,
,,,
"Figure 8. Annual arrest percentage of prisoners released in 30 states in 2005, by age of prisoner at release",,,
,,,
,Percent of released prisoners,,
Year after release,24 or younger,25-39,40 or older
1,51.85,44.89,37.78
2,42.27,38.89,33.06
3,36.75,35.7,30.52
4,34.44,33.37,28.07
5,34.33,31.11,25.92
6,31.31,29.35,23.78
7,31.9,28.9,22.16
8,30.31,27.5,20.73
9,27.62,25.59,19.42
Note: See table 5 for estimates and appendix table 7 for standard errors.,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,
