Bureau of Justice Statistics,,,,,,,,
Filename: 18upr9yfp0514f10.csv,,,,,,,,
"Figure 10. Annual percentage of prisoners released in 30 states in 2005 who were arrested for a violent crime, by most serious commitment offense",,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 5/23/2018,,,,,,,,
,,,,,,,,
"Figure 10. Annual percentage of prisoners released in 30 states in 2005 who were arrested for a violent crime, by most serious commitment offense",,,,,,,,
,,,,,,,,
,Percent of released prisoners arrested*,,,,,,,
,Most serious offense for which they were in prison,,,,,,,
Year after release,  Violent,,  Property,,  Drug ,,  Public order,
1,10.96,%,9.34,%,6.81,%,9.7,%
2,10.24,,7.77,,7.2,,8.57,
3,8.36,,7.66,,6.67,,8.29,
4,8.77,,7.8,,6.2,,8.06,
5,8.92,,6.92,,6.2,,7.32,
6,6.82,,7.07,,5.33,,7.25,
7,6.9,,7.19,,5.69,,6.63,
8,6.51,,6.2,,5.37,,6.37,
9,5.77,,5.66,,4.41,,5.33,
Note: Public order includes 0.8% of cases in which prisoners' most serious offense was unspecified. See table 6 for estimates and appendix table 8 for standard errors.,,,,,,,,
*Persons could have been in prison for more than one offense; the most serious one is reported in this figure.,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,
