Bureau of Justice Statistics,,,,
Filename: 18upr9yfp0514f11.csv,,,,
"Figure 11. Percent of prisoners released in 30 states in 2005 who were arrested after release, by year after arrest and whether arrested during subsequent years ",,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 5/23/2018,,,,
,,,,
,,,,
,,,,
"Figure 11. Percent of prisoners released in 30 states in 2005 who were arrested after release, by year after arrest and whether arrested during subsequent years ",,,,
,Percent of released prisoners,,,
Year after release,Not arrested during a subsequent year,,Arrested again during a subsequent year,
1,4.9,%,38.9,%
2,4.7,,33,
3,5.2,,29.1,
4,5.9,,26,
5,6.9,,23.2,
6,7.8,,20.1,
7,10.2,,17.1,
8,13.7,,12.2,
"Note: The denominator for the annual percentage was 401,288 (total state prisoners released in 30 states in 2005). See appendix table 11 for estimates and standard errors.",,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,
