Bureau of Justice Statistics,
Filename: 18upr9yfp0514f12.csv,
"Figure 12. Prisoners released in 30 states in 2005 who were not arrested in the remainder of the follow-up period, by year after release",
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,
Date of version: 5/23/2018,
,
"Figure 12. Prisoners released in 30 states in 2005 who were not arrested in the remainder of the follow-up period, by year after release",
Year after release,Percent of released prisoners
1,21.5
2,26.2
3,31.4
4,37.3
5,44.3
6,52.1
Note: Estimates after year-6 are not presented as 3 years of subsequent arrests could not be measured. See appendix table 12 for estimates and standard errors.,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",
