Bureau of Justice Statistics,,,,
Filename: 18upr9yfp0514t01.csv,,,,
Table 1. Characteristics of prisoners released in 30 states in 2005,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 5/23/2018,,,,
,,,,
Table 1. Characteristics of prisoners released in 30 states in 2005,,,,
,,,,
Characteristic,,,Percent,
,All released prisoners,,100,%
Sex,,,,
,Male,,89.3,%
,Female,,10.7,
Race/Hispanic origin/a,,,,
,White,,39.7,%
,Black/African American,,40.1,
,Hispanic/Latino,,17.7,
,Other/b,,2.4,
,,America Indian or Alaska Native,1.2,
,,"Asian, Native Hawaiian, or Other Pacific Islander",0.8,
Age at release,,,,
,24 or younger,,17.7,%
,25-29,,19.4,
,30-34,,16,
,35-39,,15.7,
,40 or older,,31.2,
Most serious commitment offense,,,,
,Violent,,25.7,%
,Property,,29.7,
,Drug,,31.9,
,Public order/c,,12.7,
,,,,
Number of released prisoners,,,"401,288",
Note: Data on prisoners' sex and age at release were known for 100% of cases and race and Hispanic origin for nearly 100%. Detail may not sum to total due to rounding. See appendix table 2 for standard errors.,,,,
"a/Excludes persons of Hispanic or Latino origin, unless specified.",,,,
b/Includes persons of two or more races or other unspecified races.,,,,
c/Includes 0.8% of cases in which the prisoner's most serious offense was unspecified.,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,
