Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: 18upr9yfp0514t02.csv,,,,,,,,,,,,,,
"Table 2. Cumulative percent of prisoners released in 30 states in 2005 who were arrested within or outside the state of release, by year after release",,,,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 2. Cumulative percent of prisoners released in 30 states in 2005 who were arrested within or outside the state of release, by year after release",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Within or outside the state of release,,,,,,,Outside the state of release*,,,,,
Year after release,,Total,,Percent arrested,,Percent not arrested,,,Total,,Percent arrested,,Percent not arrested,
1,,100,%,43.9,%,56.1,%,,100,%,3.3,%,96.7,%
2,,100,%,60.1,,39.9,,,100,%,5.7,,94.3,
3,,100,%,68.4,,31.6,,,100,%,7.7,,92.3,
4,,100,%,73.5,,26.5,,,100,%,9.3,,90.7,
5,,100,%,77,,23,,,100,%,10.9,,89.1,
6,,100,%,79.4,,20.6,,,100,%,12.2,,87.8,
7,,100,%,81.1,,18.9,,,100,%,13.4,,86.6,
8,,100,%,82.4,,17.6,,,100,%,14.4,,85.6,
9,,100,%,83.4,,16.6,,,100,%,15.4,,84.6,
Note: Detail may not sum to total due to rounding. See appendix table 3 for standard errors.,,,,,,,,,,,,,,
*Prisoners arrested outside the state of release could have also been arrested within the state of release.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,,,
