Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: 18upr9yfp0514t03.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Percent of prisoners released in 30 states in 2005 who were arrested after release, by prisoner characteristics and year of first arrest",,,,,,,,,,,,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Percent of prisoners released in 30 states in 2005 who were arrested after release, by prisoner characteristics and year of first arrest",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Total arrested within 9 years,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,
,All released prisoners,,83.4,%,43.9,%,16.2,%,8.3,%,5.1,%,3.5,%,2.3,%,1.7,%,1.3,%,1,%
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,,84.2,%,44.9,%,16.3,%,8.3,%,5.1,%,3.4,%,2.3,%,1.7,%,1.3,%,0.9,%
,Female,,76.8,,35.1,,15.7,,8.5,,5.5,,4.2,,2.5,,2.2,,1.7,,1.4,
Age at release,,,,,,,,,,,,,,,,,,,,,,
,24 or younger,,90.1,%,51.8,%,17,%,7.7,%,4.8,%,3.4,%,2,%,1.7,%,1,%,0.7,%
,25-39,,85.3,,44.9,,16.7,,8.6,,5.2,,3.6,,2.3,,1.7,,1.4,,0.9,
,,25-29,87,,45.9,,16.8,,8.8,,5.5,,3.8,,2.5,,1.5,,1.3,,0.9,
,,30-34,84.3,,43.9,,16.5,,8.2,,5.3,,3.5,,2.3,,1.9,,1.7,,1,
,,35-39,84.3,,44.6,,16.8,,8.7,,4.9,,3.4,,2.2,,1.7,,1.2,,0.9,
,40 or older,,76.5,,37.8,,15.1,,8.1,,5.1,,3.5,,2.5,,1.9,,1.4,,1.2,
Race/Hispanic origin/a,,,,,,,,,,,,,,,,,,,,,,
,White,,80.9,%,40.2,%,15.8,%,8.4,%,5.2,%,3.8,%,2.6,%,2.2,%,1.5,%,1.2,%
,Black/African American,,86.9,,46,,17.4,,8.6,,5.5,,3.4,,2.3,,1.6,,1.2,,0.9,
,Hispanic/Latino,,81.3,,47.3,,14.3,,7.2,,4.2,,3.1,,2.2,,0.9,,1.3,,0.7,
,Other/b,,82.4,,44.1,,16.4,,8.8,,4.5,,3,,1.3,,2.1,,1.3,,1.1,
,,American Indian or Alaska Native ,85,,43.5,,16.3,,9.5,,4.8,,3.6,,1.6,,2.7,,1.6,,1.4,
,,"Asian, Native Hawaiian, or Other Pacific Islander",79.4,,45,,16,,8.3,,4,,1.3,,1.3,,1.3,,1.2,,1,
Note: Data on prisoners' sex and age at release were known for 100% of cases and race and Hispanic origin for nearly 100%. Detail may not sum to total due to rounding. See appendix table 5 for standard errors.,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic or Latino origin, unless specified.",,,,,,,,,,,,,,,,,,,,,,
b/Includes persons of two or more races or other unspecified races.,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,,,,,,,,,,,
