Bureau of Justice Statistics,,,,,,
Filename: 18upr9yfp0514t04.csv,,,,,,
"Table 4. Post-release arrests of prisoners released in 30 states in 2005, by year after arrest",,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 5/23/2018,,,,,,
,,,,,,
"Table 4. Post-release arrests of prisoners released in 30 states in 2005, by year after arrest",,,,,,
,,,,,,
"Year after 
arrest",,"Number of 
arrests during
year/period","Percent of 
arrests during 
year/period",,"Cumulative 
number of all arrests since release",Cumulative percent of all arrests since release
,Total,"1,994,000",100,%,~,~
Years 1-3,,"804,000",40.3,%,~,~
,1,"306,000",15.4,,"306,000",15.4
,2,"260,000",13,,"567,000",28.4
,3,"238,000",11.9,,"804,000",40.3
Years 4-6,,"620,000",31.1,%,~,~
,4,"219,000",11,,"1,024,000",51.3
,5,"210,000",10.6,,"1,234,000",61.9
,6,"190,000",9.6,,"1,425,000",71.4
Years 7-9,,"570,000",28.6,%,~,~
,7,"196,000",9.8,,"1,620,000",81.2
,8,"194,000",9.7,,"1,814,000",91
,9,"180,000",9,,"1,994,000",100
"Note: Number of post-release arrests was rounded to the nearest 1,000. Detail may not sum to total due to rounding. See appendix table 6 for standard errors. ",,,,,,
~Not applicable.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,
