Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: 18upr9yfp0514t05.csv,,,,,,,,,,,,,,,,,,,,
"Table 5. Annual arrest percentage of prisoners released in 30 states in 2005, by prisoner characteristics",,,,,,,,,,,,,,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,,,,,,,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 5/23/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Table 5. Annual arrest percentage of prisoners released in 30 states in 2005, by prisoner characteristics",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,
,All released prisoners,,43.9,%,37.7,%,34.3,%,31.9,%,30.1,%,28,%,27.4,%,25.9,%,24,%
Sex,,,,,,,,,,,,,,,,,,,,
,Male,,44.9,%,38.2,%,34.7,%,32.3,%,30.5,%,28.4,%,27.8,%,26.4,%,24.3,%
,Female,,35.1,,33.2,,30.7,,28,,26.6,,24.3,,23.8,,21.9,,21.3,
Age at release,,,,,,,,,,,,,,,,,,,,
,24 or younger,,51.8,%,42.3,%,36.7,%,34.4,%,34.3,%,31.3,%,31.9,%,30.3,%,27.6,%
,25-39,,44.9,,38.9,,35.7,,33.4,,31.1,,29.3,,28.9,,27.5,,25.6,
,,25-29,45.9,,39.2,,36.3,,33.2,,31.7,,30.3,,29.3,,28.3,,26.4,
,,30-34,43.9,,38.1,,34.4,,32.8,,30.3,,28.2,,28.1,,27.2,,24.1,
,,35-39,44.6,,39.3,,36.3,,34.1,,31.3,,29.3,,29.4,,27.1,,26.1,
,40 or older,,37.8,,33.1,,30.5,,28.1,,25.9,,23.8,,22.2,,20.7,,19.4,
Race/Hispanic origin/a,,,,,,,,,,,,,,,,,,,,
,White,,40.2,%,35,%,32.2,%,29.9,%,28.7,%,26.8,%,26.2,%,25,%,22.9,%
,Black/African American,,46,,40.6,,36.5,,34.1,,31.9,,29.5,,29.1,,27.3,,25.3,
,Hispanic/Latino,,47.3,,36.9,,33.6,,31.4,,29.3,,26.8,,25.7,,24,,23.4,
,Other/b,,44.1,,37.8,,35.3,,32,,27.8,,28.7,,29.9,,29.2,,24.6,
,,American Indian or Alaska Native,43.5,,37.8,,38.8,,32.3,,29.9,,31.3,,34.7,,31,,26,
,,"Asian, Native Hawaiian, or Other Pacific Islander",45,,39.1,,29.7,,31.3,,25.2,,25.4,,26.2,,27.5,,21.2,
"Note: Data on prisoners' sex and age at release were known for 100% of cases, and race and Hispanic origin were known for nearly 100% of cases. See appendix table 7 for standard errors.",,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic or Latino origin, unless specified.",,,,,,,,,,,,,,,,,,,,
b/Includes persons of two or more races or other specified races.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,,,,,,,,,,,,,
