Bureau of Justice Statistics,,,,,,
Filename: 18upr9yfp0514t08.csv,,,,,,
"Table 8. Annual arrest percentage of prisoners released in 30 states in 2005, by whether arrested within or outside the state of release",,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 5/23/2018,,,,,,
,,,,,,
"Table 8. Annual arrest percentage of prisoners released in 30 states in 2005, by whether arrested within or outside the state of release",,,,,,
,,,,,,
,All released prisoners,,,,"Among released prisoners arrested during the year,",
Year after arrest,Outside state of release,,Within or outside state of release,, percent arrested outside state of release,
1,3.3,%,43.9,%,7.5,%
2,3.4,,37.7,,9,
3,3.4,,34.3,,10,
4,3.5,,31.9,,10.9,
5,3.6,,30.1,,12,
6,3.5,,28,,12.6,
7,3.6,,27.4,,13.3,
8,3.5,,25.9,,13.6,
9,3.4,,24,,14.2,
Arrested anytime in follow-up period,15.4,%,83.4,%,~,
Note: Detail may not sum to total due to rounding. See appendix table 10 for standard errors.,,,,,,
~Not applicable.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,
